timestamp,cumulative_swabs_declared_by_AUSL,daily_swabs
2020-04-17,2980,
2020-04-18,3148,
2020-04-19,3204,
2020-04-20,3211,
2020-04-21,3314,
2020-04-22,3449,
2020-04-23,3582,
2020-04-24,3684,
2020-04-25,3854,
2020-04-26,3863,
2020-04-27,999999999,
2020-04-28,3952,
2020-04-29,4076,
2020-04-30,4165,
2020-05-01,4366,
2020-05-02,4386,
2020-05-03,4493,
2020-05-04,4517,
2020-05-05,4639,
2020-05-06,4831,
2020-05-07,4960,
2020-05-08,5110,
2020-05-10,5277,
2020-05-11,5306,
2020-05-12,5410,
2020-05-14,5641,
2020-05-15,5705,
2020-10-09,,379
2020-10-13,,170
2020-10-14,,357
2020-10-15,,296
2020-10-16,,378
2020-10-17,,344
2020-10-18,,
2020-10-19,,272
2020-10-20,,313
2020-10-21,,387
2020-10-22,,605
2020-10-23,,450
2020-10-24,,620
2020-10-25,,373
2020-10-26,,319
2020-10-27,,290
2020-10-28,,750
2020-10-29,,457
2020-10-30,,554
2020-10-31,,555
2020-11-01,,564
2020-11-02,,303
2020-11-03,,347
2020-11-04,,482
2020-11-05,,441
2020-11-06,,408
2020-11-07,,572
2020-11-08,,285
2020-11-09,,123
2020-11-10,,1100
2020-11-11,,905
2020-11-12,,678
2020-11-13,,883
2020-11-14,,678
2020-11-15,,589
2020-11-16,,764
2020-11-17,,590
2020-11-18,,821
2020-11-19,,701
2020-11-20,,909
2020-11-21,,639
2020-11-22,,783
2020-11-23,,907
2020-11-24,,1139
2020-11-25,,961
2020-11-26,,1100
2020-11-27,,908
2020-11-28,,779
2020-11-29,,852
2020-11-30,,902
2020-12-01,,533
2020-12-02,,375
2020-12-03,,675
2020-12-04,,660
2020-12-05,,518
2020-12-06,,465
2020-12-07,,580
2020-12-08,,692
2020-12-09,,229
2020-12-10,,631
2020-12-11,,288
2020-12-12,,462
2020-12-13,,829
2020-12-14,,561
2020-12-15,,457
2020-12-16,,429
2020-12-17,,754
2020-12-18,,547
2020-12-19,,463
2020-12-20,,556
2020-12-21,,673
2020-12-22,,444
2020-12-23,,369
2020-12-24,,454
2020-12-25,,665
2020-12-26,,495
2020-12-27,,658
2020-12-28,,120
2020-12-29,,174
2020-12-30,,279
2020-12-31,,473
2021-01-01,,600
2021-01-02,,533
2021-01-03,,383
2021-01-04,,188
2021-01-05,,316
2021-01-06,,293
2021-01-07,,642
2021-01-08,,426
2021-01-09,,266
2021-01-10,,415
2021-01-11,,381
2021-01-12,,324
2021-01-13,,187
2021-01-14,,378
2021-01-15,,348
2021-01-16,,405
2021-01-17,,488
2021-01-18,,363
2021-01-19,,383
2021-01-20,,133
2021-01-21,,303
2021-01-22,,391
2021-01-23,,359
2021-01-24,,309
2021-01-25,,304
2021-01-26,,242
2021-01-27,,212
2021-01-28,,303
2021-01-29,,239
2021-01-30,,204
2021-01-31,,249
2021-02-01,,318
2021-02-02,,190
2021-02-03,,125
2021-02-04,,377
2021-02-05,,520
